region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Ústecký kraj,50.6321967,13.84527562,990000.0,33,2,6.0,112.0,1706.0,,,135.0,https://www.sreality.cz/detail/prodej/byt/1+kk/teplice-prosetice-proseticka/4196917324,Panelová,4.0,3.0,Teplice,Prosetice,Ústřední dálkové,1.0,0.0,30000.0
Moravskoslezský kraj,50.2526476,17.5169948,990000.0,75,1,3.0,85.0,,,,43.0,https://www.sreality.cz/detail/prodej/byt/3+kk/jindrichov-jindrichov-/632767308,Cihlová,3.0,1.0,Jindřichov, Bruntál,Lokální tuhá paliva,3.0,0.0,13200.0
Ústecký kraj,50.68597659,13.87953415,990000.0,61,2,1.0,174.0,2989.0,,,184.0,https://www.sreality.cz/detail/prodej/byt/2+1/krupka-marsov-karla-capka/1026646860,Panelová,3.0,7.0,Krupka,Maršov,Ústřední dálkové,2.0,1.0,16229.508196721312
Ústecký kraj,50.59259807,13.5699853,990000.0,40,2,5.0,99.0,2387.0,2439.0,,48.0,https://www.sreality.cz/detail/prodej/byt/2+kk/litvinov-janov-hamerska/1554894924,Panelová,3.0,5.0,Litvínov,Janov,Ústřední dálkové,2.0,0.0,24750.0
Karlovarský kraj,50.32071239,12.74383976,996000.0,21,1,1.0,228.0,,,,195.0,https://www.sreality.cz/detail/prodej/byt/1+kk/nejdek-nejdek-j-a-gagarina/11501644,Panelová,3.0,3.0,Nejdek, Karlovy Vary,Ústřední dálkové,1.0,0.0,47428.57142857143
Ústecký kraj,50.85759839,14.49731599,998000.0,54,1,1.0,284.0,,,,375.0,https://www.sreality.cz/detail/prodej/byt/2+1/chribska-horni-chribska-/2679386956,Cihlová,3.0,1.0,Chřibská,Horní Chřibská,Ústřední dálkové,2.0,1.0,18481.48148148148
Kraj Vysočina,49.52983475,15.22180924,999000.0,46,1,1.0,146.0,,,,344.0,https://www.sreality.cz/detail/prodej/byt/2+kk/zeliv-zeliv-/2017652812,Cihlová,2.0,1.0,Želiv, Pelhřimov,"Přímotop, Krbová kamna",2.0,0.0,21717.391304347828
Ústecký kraj,50.67992595,14.11700659,999000.0,78,1,1.0,71.0,,,,49.0,https://www.sreality.cz/detail/prodej/byt/3+1/usti-nad-labem-mojzir-jindricha-plachty/1246556236,Panelová,3.0,4.0,Ústí nad Labem,Mojžíř,,3.0,1.0,12807.692307692309
Moravskoslezský kraj,49.87858566,18.43634562,999000.0,33,2,1.0,29.0,568.0,,,387.0,https://www.sreality.cz/detail/prodej/byt/1+kk/orlova-lutyne-f-s-tumy/4000747596,Panelová,4.0,1.0,Orlová,Lutyně,,1.0,0.0,30272.727272727272
Ústecký kraj,50.67992595,14.11700659,999000.0,60,1,1.0,122.0,,,,95.0,https://www.sreality.cz/detail/prodej/byt/2+1/usti-nad-labem-mojzir-jindricha-plachty/2915283020,Panelová,3.0,4.0,Ústí nad Labem,Mojžíř,,2.0,1.0,16650.0
